kind,record_id,repo_id,status,usable,labeled_focal_method,labeled_focal_signature,top1_pred_name,top1_pred_signature,top1_score,top1_identifier_correct,top3_identifier_correct,top1_signature_correct,top3_signature_correct,top1_primary_correct,top3_primary_correct,ground_truth_rank_identifier,failure_mode,mapping_output_path,n_records,n_signature_records,top1_identifier_accuracy,top3_identifier_accuracy,top1_signature_accuracy,top3_signature_accuracy,top1_primary_accuracy,top3_primary_accuracy
record,c2t_00138c6d6c2634bb37e3,42949039,ok,True,getStorageUnitEntity,"public StorageUnitEntity getStorageUnitEntity(String storageName, BusinessObjectDataEntity businessObjectDataEntity)",getStorageUnitEntity,"public StorageUnitEntity getStorageUnitEntity(String storageName, BusinessObjectDataEntity businessObjectDataEntity)",7.831081,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_00138c6d6c2634bb37e3.json,,,,,,,,
record,c2t_0068855ffbce37c5f5ab,42949039,ok,True,retryStoragePolicyTransition,"public BusinessObjectData retryStoragePolicyTransition(BusinessObjectDataKey businessObjectDataKey,
        BusinessObjectDataRetryStoragePolicyTransitionRequest request)",retryStoragePolicyTransition,"public BusinessObjectData retryStoragePolicyTransition(BusinessObjectDataKey businessObjectDataKey, BusinessObjectDataRetryStoragePolicyTransitionRequest request)",8.743333,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0068855ffbce37c5f5ab.json,,,,,,,,
record,c2t_0097e52ed6dabaa7807d,4398263,ok,True,create,public Request create(RequestType request),create,public <RequestType extends ConversationsRequest> Request create(RequestType request),7.340909,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0097e52ed6dabaa7807d.json,,,,,,,,
record,c2t_00cd0bd4078d14c1a112,42949039,ok,True,deleteDirectoryIgnoreException,public static void deleteDirectoryIgnoreException(File directory),deleteDirectoryIgnoreException,public static void deleteDirectoryIgnoreException(File directory),10.893836,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_00cd0bd4078d14c1a112.json,,,,,,,,
record,c2t_0135b348cc544163f768,42949039,ok,True,signalJob,"@RequestMapping(value = ""/jobs/signal"", method = RequestMethod.POST, consumes = {""application/xml"", ""application/json""}) @Secured(SecurityFunctions.FN_JOBS_SIGNAL_POST) public Job signalJob(@RequestBody JobSignalRequest request)",signalJob,"@RequestMapping(value = ""/jobs/signal"", method = RequestMethod.POST, consumes = {""application/xml"", ""application/json""}) @Secured(SecurityFunctions.FN_JOBS_SIGNAL_POST) public Job signalJob(@RequestBody JobSignalRequest request) throws Exception",9.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_0135b348cc544163f768.json,,,,,,,,
record,c2t_016a143a602dd7a494d2,20555659,ok,True,ntriplesString,@Override public String ntriplesString(),ntriplesString,@Override public String ntriplesString(),9.25,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_016a143a602dd7a494d2.json,,,,,,,,
record,c2t_01c945cfb06b1a314530,4398263,ok,True,getBvUserProvidedData, BVUserProvidedData getBvUserProvidedData(),getBvUserProvidedData,BVUserProvidedData getBvUserProvidedData(),10.107143,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_01c945cfb06b1a314530.json,,,,,,,,
record,c2t_01fc4b0013cd0bb4afe0,39970786,ok,True,add,"@PUT(""/todo/"") public void add(final Callback<Boolean> callback, final Todo todo)",add,"@PUT(""/todo/"") public void add(final Callback<Boolean> callback, final Todo todo)",6.363636,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_01fc4b0013cd0bb4afe0.json,,,,,,,,
record,c2t_02d3cfbfefb15c61dee8,4159017,ok,True,toString,@Override public String toString(),toString,@Override public String toString(),7.130952,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_02d3cfbfefb15c61dee8.json,,,,,,,,
record,c2t_02e1fc2854da3da2c6f7,4159017,ok,True,parse,public N parse(File file),parse,public N parse(File file),9.5,True,True,True,True,True,True,1,,C:\Users\osart\Phase2_SWE_Testing-data_ingestion\artifacts\mapping\c2t_02e1fc2854da3da2c6f7.json,,,,,,,,
